Name;Length;WingSpan;WingArea;EmptyMass;MaxFuelMass;CritAirSpd;CritAirSpdMach;CritGearSpd;CombatFlaps;TakeoffFlaps;CritFlapsSpd;CritWingOverload;NumEngines;RPM;MaxNitro;NitroConsum;CritAoA
a-10a_early;10.80000;17.50000;46.80000;11520.00000;4853.00000;874.00000;0.80000;370.40000;0.00000;24.00000;0.3,740.0,1.0,370.4;-220000.0,750000.0;2.00000;11400,17900,18500;0.00000;0.00000;21.5,-16.0,23.5,-15.0
a-10a_late;10.80000;17.50000;46.80000;11520.00000;4853.00000;874.00000;0.80000;370.40000;0.00000;24.00000;0.3,740.0,1.0,370.4;-220000.0,750000.0;2.00000;11400,17900,18500;0.00000;0.00000;21.5,-16.0,23.5,-15.0
a-10c;10.80000;17.50000;46.80000;11590.00000;10111.00000;874.00000;0.80000;370.40000;0.00000;24.00000;0.3,740.0,1.0,370.4;-220000.0,750000.0;2.00000;11400,17900,18500;0.00000;0.00000;21.5,-16.0,23.5,-15.0
a-20g;14.63000;18.69300;43.18130;7742.00000;1090.00000;696.00000;0.70300;296.00000;20.00000;33.00000;0.1,445.0,1.0,296.0;-131700.0,263400.0;2.00000;600,2401,2760;0.00000;0.00000;16.0,-15.5,14.5,-13.0
a-26b;15.46900;21.33600;50.21400;10332.00000;2522.00000;718.00000;0.71000;270.00000;20.00000;33.00000;0.1,527.0,1.0,351.0;-322000.0,445000.0;2.00000;550,2701,3400;162.80000;0.09000;15.5,-15.0,12.5,-12.0
a-26b_10;15.46900;21.33600;50.21400;10192.00000;2522.00000;718.00000;0.71000;270.00000;20.00000;33.00000;0.1,527.0,1.0,351.0;-322000.0,445000.0;2.00000;550,2701,3400;0.00000;0.00000;15.5,-15.0,12.5,-12.0
a-26c;15.62100;21.33600;50.21400;10340.00000;2182.10000;718.00000;0.71000;270.00000;20.00000;33.00000;0.1,527.0,1.0,351.0;-322000.0,445000.0;2.00000;550,2701,3400;162.80000;0.09000;15.5,-15.0,12.5,-12.0
a2d;12.59840;15.24000;37.25400;7148.00000;1061.41000;875.00000;0.82000;301.00000;20.00000;33.00000;0.0,600.0,0.2,420.0,0.3,351.0,1.0,301.0;-191615.0,415165.0;2.00000;6300,14300,20000;0.00000;0.00000;18.0,-18.0,16.5,-17.2
a5m4;7.56500;11.00000;17.80000;1354.00000;172.80000;558.00000;0.70000;558.00000;20.00000;33.00000;0.1,420.0,1.0,220.0;-38000.0,102000.0;1.00000;300,2600,3000;0.00000;0.00000;17.2,-17.0,14.1,-20.0
a6m2_mod11;9.05000;11.80000;22.43800;1821.00000;385.20000;660.00000;0.83000;310.00000;20.00000;33.00000;0.1,510.0,1.0,280.0;-84523.2,149473.0;1.00000;100,2550,2650;0.00000;0.00000;17.0,-14.5,16.5,-13.0
